"run_index","beta","q10","s","run_name","tempature_flag","landflux_flag"
1,0.5,2.6,3.35,"hectorSA-0001",0,0
2,0.75,1.4,3.975,"hectorSA-0002",0,0
3,0.25,3.8,2.725,"hectorSA-0003",0,0
4,0.375,2,3.6625,"hectorSA-0004",0,0
5,0.875,4.4,2.4125,"hectorSA-0005",1,1
6,0.625,0.8,3.0375,"hectorSA-0006",0,0
7,0.125,3.2,4.2875,"hectorSA-0007",0,0
8,0.1875,1.7,2.88125,"hectorSA-0008",0,0
9,0.6875,4.1,4.13125,"hectorSA-0009",0,0
10,0.9375,0.5,3.50625,"hectorSA-0010",0,0
11,0.4375,2.9,2.25625,"hectorSA-0011",0,0
12,0.3125,1.1,4.44375,"hectorSA-0012",0,0
13,0.8125,3.5,3.19375,"hectorSA-0013",0,0
14,0.5625,2.3,2.56875,"hectorSA-0014",0,0
15,0.0625,4.7,3.81875,"hectorSA-0015",0,0
16,0.09375,2.45,4.20937,"hectorSA-0016",0,0
17,0.59375,4.85,2.95938,"hectorSA-0017",0,0
18,0.84375,1.25,2.33438,"hectorSA-0018",1,0
19,0.34375,3.65,3.58438,"hectorSA-0019",0,0
20,0.46875,0.65,3.27188,"hectorSA-0020",0,0
21,0.96875,3.05,4.52187,"hectorSA-0021",0,0
22,0.71875,1.85,3.89688,"hectorSA-0022",0,0
23,0.21875,4.25,2.64688,"hectorSA-0023",0,0
24,0.15625,0.95,3.42813,"hectorSA-0024",0,0
25,0.65625,3.35,2.17813,"hectorSA-0025",1,1
26,0.90625,2.15,2.80313,"hectorSA-0026",1,0
27,0.40625,4.55,4.05312,"hectorSA-0027",0,0
28,0.28125,1.55,2.49063,"hectorSA-0028",0,0
29,0.78125,3.95,3.74063,"hectorSA-0029",0,0
30,0.53125,0.35,4.36562,"hectorSA-0030",0,0
31,0.03125,2.75,3.11563,"hectorSA-0031",0,0
32,0.04688,1.475,3.62344,"hectorSA-0032",0,0
33,0.54688,3.875,2.37344,"hectorSA-0033",0,0
34,0.79688,0.275,2.99844,"hectorSA-0034",1,0
35,0.29688,2.675,4.24844,"hectorSA-0035",0,0
36,0.42188,0.875,2.68594,"hectorSA-0036",0,0
37,0.92188,3.275,3.93594,"hectorSA-0037",0,0
38,0.67188,2.075,4.56094,"hectorSA-0038",0,0
39,0.17188,4.475,3.31094,"hectorSA-0039",0,0
40,0.23438,0.575,4.09219,"hectorSA-0040",0,0
41,0.73438,2.975,2.84219,"hectorSA-0041",0,0
42,0.98438,1.775,2.21719,"hectorSA-0042",1,0
43,0.48438,4.175,3.46719,"hectorSA-0043",0,0
44,0.35938,2.375,3.15469,"hectorSA-0044",0,0
45,0.85938,4.775,4.40469,"hectorSA-0045",0,0
46,0.60938,1.175,3.77969,"hectorSA-0046",0,0
47,0.10938,3.575,2.52969,"hectorSA-0047",0,0
48,0.07812,1.325,2.76406,"hectorSA-0048",0,0
49,0.57812,3.725,4.01406,"hectorSA-0049",0,0
50,0.82812,2.525,3.38906,"hectorSA-0050",0,0
51,0.32812,4.925,2.13906,"hectorSA-0051",0,0
52,0.45312,1.925,4.32656,"hectorSA-0052",0,0
53,0.95312,4.325,3.07656,"hectorSA-0053",1,1
54,0.70312,0.725,2.45156,"hectorSA-0054",1,0
55,0.20312,3.125,3.70156,"hectorSA-0055",0,0
56,0.14062,2.225,2.29531,"hectorSA-0056",0,0
57,0.64062,4.625,3.54531,"hectorSA-0057",0,0
58,0.89062,1.025,4.17031,"hectorSA-0058",0,0
59,0.39062,3.425,2.92031,"hectorSA-0059",0,0
60,0.26562,0.425,3.85781,"hectorSA-0060",0,0
61,0.76562,2.825,2.60781,"hectorSA-0061",1,1
62,0.51562,1.625,3.23281,"hectorSA-0062",0,0
63,0.01562,4.025,4.48281,"hectorSA-0063",0,0
64,0.02344,2.1125,3.21328,"hectorSA-0064",0,0
65,0.52344,4.5125,4.46328,"hectorSA-0065",0,0
66,0.77344,0.9125,3.83828,"hectorSA-0066",0,0
67,0.27344,3.3125,2.58828,"hectorSA-0067",0,0
68,0.39844,0.3125,4.15078,"hectorSA-0068",0,0
69,0.89844,2.7125,2.90078,"hectorSA-0069",1,0
70,0.64844,1.5125,2.27578,"hectorSA-0070",1,1
71,0.14844,3.9125,3.52578,"hectorSA-0071",0,0
72,0.21094,1.2125,2.43203,"hectorSA-0072",0,0
73,0.71094,3.6125,3.68203,"hectorSA-0073",0,0
74,0.96094,2.4125,4.30703,"hectorSA-0074",0,0
75,0.46094,4.8125,3.05703,"hectorSA-0075",0,0
76,0.33594,1.8125,3.36953,"hectorSA-0076",0,0
77,0.83594,4.2125,2.11953,"hectorSA-0077",1,1
78,0.58594,0.6125,2.74453,"hectorSA-0078",0,0
79,0.08594,3.0125,3.99453,"hectorSA-0079",0,0
80,0.11719,0.7625,3.76016,"hectorSA-0080",0,0
81,0.61719,3.1625,2.51016,"hectorSA-0081",0,0
82,0.86719,1.9625,3.13516,"hectorSA-0082",0,0
